algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
constructive_learning,0.022,3.302,0.908,0.908,0.908,0.908,0.908,0.893,0.842,0.893,0.092,0.092,0.254,0.972,0.986,0.902,80.602
AIS,0.961,55.101,0.929,0.930,0.929,0.929,0.929,0.918,0.874,0.918,0.071,0.071,0.195,0.754,0.868,0.929,84.935
GBBK,0.061,0.127,0.530,0.636,0.530,0.515,0.551,0.501,0.440,0.461,0.470,0.470,1.798,9.114,3.019,0.440,-66.859
GE SVM,86.737,134.960,0.696,0.737,0.696,0.669,0.678,0.655,0.569,0.645,0.304,0.304,0.971,4.177,2.044,0.615,24.519
Hidden Naive Bayes (HNB),0.034,0.184,0.530,0.636,0.530,0.515,0.551,0.501,0.440,0.461,0.470,0.470,1.798,9.114,3.019,0.440,-66.859
HistGradientBoostingClassifier,1.871,50.474,0.925,0.925,0.925,0.925,0.925,0.913,0.868,0.913,0.075,0.075,0.204,0.787,0.887,0.923,84.287
IGRF-RFE with k-fold Cross-Validation,0.013,1.674,0.905,0.905,0.905,0.905,0.905,0.890,0.838,0.890,0.095,0.095,0.264,1.027,1.013,0.899,79.496
ICA,0.949,99.888,0.928,0.928,0.928,0.927,0.927,0.916,0.871,0.916,0.072,0.072,0.199,0.768,0.876,0.927,84.655
Lasso Regression,0.021,245.953,0.626,0.655,0.626,0.606,0.615,0.572,0.514,0.564,0.374,0.374,1.140,4.943,2.223,0.513,3.562
Meta (KNN),19.334,0.765,0.904,0.907,0.904,0.903,0.905,0.890,0.834,0.889,0.096,0.096,0.273,1.098,1.048,0.907,78.076
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,0.391,1347.659,0.493,0.484,0.493,0.476,0.476,0.409,0.379,0.405,0.507,0.507,1.537,6.331,2.516,0.357,-26.472
Projected Gradient Descent (PGD),0.028,42.877,0.727,0.752,0.727,0.702,0.702,0.690,0.601,0.683,0.273,0.273,0.851,3.684,1.919,0.656,28.820
PCA,0.007,1.298,0.898,0.898,0.898,0.898,0.898,0.882,0.826,0.882,0.102,0.102,0.282,1.091,1.045,0.891,78.198
RBF,34.866,52.787,0.697,0.736,0.697,0.670,0.678,0.656,0.570,0.647,0.303,0.303,0.968,4.165,2.041,0.616,24.715
Stacked Convolutional Neural Networks with k-fold Cross-Validation,3.411,77.523,0.786,0.792,0.786,0.760,0.757,0.756,0.664,0.752,0.214,0.214,0.690,3.108,1.763,0.748,38.689
Simulated Annealing (SA),0.001,130.668,0.471,0.687,0.471,0.430,0.500,0.441,0.346,0.363,0.529,0.529,1.674,6.661,2.581,0.322,-5.079
SVM with Optimization and k-fold Cross-Validation,12.232,57.548,0.616,0.701,0.616,0.572,0.588,0.575,0.489,0.549,0.384,0.384,1.195,4.906,2.215,0.487,3.455
Stacking Classifier,1.590,135.561,0.903,0.903,0.903,0.903,0.903,0.887,0.835,0.887,0.097,0.097,0.260,0.977,0.988,0.895,80.493
Stacking Dilated Convolutional Autoencoders,0.016,8.191,0.910,0.910,0.910,0.909,0.910,0.895,0.844,0.895,0.090,0.090,0.248,0.955,0.977,0.904,80.921
Temporal Deep Feedforward Neural Network,2.554,58.324,0.664,0.673,0.664,0.624,0.633,0.624,0.535,0.608,0.336,0.336,1.024,4.385,2.094,0.560,13.024
Voting Classifier,0.170,3.005,0.910,0.911,0.910,0.910,0.911,0.896,0.846,0.896,0.090,0.090,0.245,0.944,0.971,0.905,81.186
GBT,0.525,341.698,0.892,0.893,0.892,0.890,0.891,0.875,0.817,0.875,0.108,0.108,0.315,1.308,1.144,0.885,73.878
CART,0.011,2993.269,0.252,0.135,0.252,0.111,0.099,0.080,0.068,0.012,0.748,0.748,1.760,5.336,2.310,0.123,2.881
